k1,k2,mu,lb,ub,pval
36,29,0.072778,0.024384,0.127621,0.94325
36,30,-0.060368,-0.114137,-0.008397,0.0955
36,31,0.146405,0.078685,0.213893,0.99775
36,32,0.032573,-0.0222,0.085711,0.76825
36,33,-0.001333,-0.056898,0.055772,0.48975
36,34,-0.026059,-0.079044,0.02858,0.286
36,35,0.383638,0.266345,0.490632,1.0
37,0,-0.019711,-0.064849,0.025284,0.32
37,1,0.00439,-0.033601,0.041987,0.55
37,2,-0.07177,-0.102722,-0.035708,0.03925
37,3,0.070872,0.045871,0.096962,0.9575
37,4,-0.035776,-0.056679,-0.014172,0.177
37,5,-0.133636,-0.162995,-0.105057,0.00075
37,6,-0.041878,-0.073579,-0.010703,0.15425
37,7,-0.059635,-0.085792,-0.034197,0.07325
37,8,0.027731,-0.022543,0.072229,0.76425
37,9,-0.002992,-0.037852,0.031431,0.485
37,10,-0.059905,-0.093357,-0.026182,0.06425
37,11,-0.022523,-0.049311,0.005478,0.3175
37,12,-0.048338,-0.073606,-0.026782,0.11325
37,13,-0.065798,-0.088804,-0.044014,0.04825
37,14,-0.098489,-0.1445,-0.038119,0.0275
37,15,-0.051932,-0.087563,-0.016529,0.1315
37,16,-0.04373,-0.072464,-0.012572,0.174
37,17,-0.050379,-0.076614,-0.020838,0.128
37,18,0.00462,-0.021155,0.031163,0.548
37,19,-0.033635,-0.064637,-0.005736,0.19425
37,20,-0.032187,-0.077906,0.015396,0.24225
37,21,-0.068372,-0.112896,-0.023826,0.06375
37,22,-0.071074,-0.106569,-0.03219,0.04775
37,23,0.078565,0.048288,0.109032,0.972
37,24,0.012218,-0.015137,0.03729,0.6155
37,25,-0.025051,-0.052417,0.001779,0.22625
37,26,-0.012935,-0.050034,0.025521,0.3435
37,27,-0.025984,-0.05211,-0.00121,0.2175
37,28,-0.009386,-0.035274,0.01828,0.3955
37,29,0.034877,0.012478,0.059035,0.82075
37,30,-0.028515,-0.053109,-0.003883,0.2415
