subject,item,item_id,subscale,response,n_years
0lrvsj3hcaybws07zl60bqyv,35,Peer_hit_med,PeerPhysA,0.0,0.0
0lrvsj3hcaybws07zl60bqyv,36,Peer_forced_sex,SexA,0.0,0.0
0lrvsj3hcaybws07zl60bqyv,37,Peer_sex_not_want,SexA,0.0,0.0
0lrvsj3hcaybws07zl60bqyv,38,M_unavail_poor,EN,0.0,0.0
0lrvsj3hcaybws07zl60bqyv,39,F_unavail_poor,EN,0.0,0.0
0lrvsj3hcaybws07zl60bqyv,40,P_diff_please,NVEA,0.0,0.0
0lrvsj3hcaybws07zl60bqyv,41,P_no_time,NVEA,0.0,0.0
0lrvsj3hcaybws07zl60bqyv,42,P_loved_you,EN,0.0,0.0
0lrvsj3hcaybws07zl60bqyv,43,P_special,EN,0.0,0.0
0lrvsj3hcaybws07zl60bqyv,44,P_protect,PN,0.0,0.0
0lrvsj3hcaybws07zl60bqyv,45,P_ER,PN,0.0,0.0
0lrvsj3hcaybws07zl60bqyv,46,No_food,PN,0.0,0.0
0lrvsj3hcaybws07zl60bqyv,47,Dirty_clothes,PN,0.0,0.0
0lrvsj3hcaybws07zl60bqyv,48,Adult_resposibility,NVEA,0.0,0.0
0lrvsj3hcaybws07zl60bqyv,49,Financial_pressure,NVEA,0.0,0.0
0lrvsj3hcaybws07zl60bqyv,50,Kept_secrets,NVEA,0.0,0.0
0lrvsj3hcaybws07zl60bqyv,51,Looked_out_each_other,PN,0.0,0.0
0lrvsj3hcaybws07zl60bqyv,52,Fam_strength,EN,0.0,0.0
0prwca8v4cebrfcs5sokvp28,1,Swore,PVA,0.0,0.0
0prwca8v4cebrfcs5sokvp28,2,Hurtful,PVA,0.0,0.0
0prwca8v4cebrfcs5sokvp28,3,Afraid,PVA,0.0,0.0
0prwca8v4cebrfcs5sokvp28,4,Leave,PVA,0.0,0.0
0prwca8v4cebrfcs5sokvp28,5,Closet,NVEA,0.0,0.0
0prwca8v4cebrfcs5sokvp28,6,Pushed,PPhysA,0.0,0.0
0prwca8v4cebrfcs5sokvp28,7,Hit,PPhysA,0.0,0.0
0prwca8v4cebrfcs5sokvp28,8,Hit_med,PPhysA,0.0,0.0
0prwca8v4cebrfcs5sokvp28,9,Spank_open,PPhysA,0.0,0.0
0prwca8v4cebrfcs5sokvp28,10,Spanked_bare,PPhysA,0.0,0.0
0prwca8v4cebrfcs5sokvp28,11,Spanked_strap,PPhysA,0.0,0.0
0prwca8v4cebrfcs5sokvp28,12,Sex_comment,SexA,0.0,0.0
0prwca8v4cebrfcs5sokvp28,13,Fondled,SexA,0.0,0.0
0prwca8v4cebrfcs5sokvp28,14,Touch_them,SexA,0.0,0.0
0prwca8v4cebrfcs5sokvp28,15,Push_sib,WSV,0.0,0.0
0prwca8v4cebrfcs5sokvp28,16,Hit_sib_med,WSV,0.0,0.0
0prwca8v4cebrfcs5sokvp28,17,Sex_comment_sib,WSV,0.0,0.0
0prwca8v4cebrfcs5sokvp28,18,Fondled_sib,WSV,0.0,0.0
0prwca8v4cebrfcs5sokvp28,19,o_fondled,SexA,0.0,0.0
